Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Add_StockTransfer_With_Screenshot,,,,09-09-2024 11:20:23,09-09-2024 11:22:33,2m - 10.564s,PASSED
,,,,,,,
Test Cases/TC_Add_StockTransfer_With_Screenshot,,,,09-09-2024 11:20:23,09-09-2024 11:22:33,2m - 10.366s,PASSED
"startApplication(""C:\Users\1556\Downloads\levelup-v8.apk"", false)",,,,09-09-2024 11:20:23,09-09-2024 11:20:47,23.357s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Object_LevelUp/field_username""), 5)",,,,09-09-2024 11:20:47,09-09-2024 11:20:48,0.979s,PASSED
"takeScreenshotAsCheckpoint(""Sebelum Input Username dan Password"", [])",,,,09-09-2024 11:20:48,09-09-2024 11:20:49,1.236s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,09-09-2024 11:20:49,09-09-2024 11:20:51,2.035s,PASSED
"tap(findTestObject(""Object Repository/Object_LevelUp/field_username""), 5)",,,,09-09-2024 11:20:51,09-09-2024 11:20:51,0.351s,PASSED
"setText(findTestObject(""Object Repository/Object_LevelUp/input_username""), ""administrator"", 5)",,,,09-09-2024 11:20:51,09-09-2024 11:20:54,2.304s,PASSED
hideKeyboard(),,,,09-09-2024 11:20:54,09-09-2024 11:20:55,1.006s,PASSED
"tap(findTestObject(""Object Repository/Object_LevelUp/field_password""), 0)",,,,09-09-2024 11:20:55,09-09-2024 11:20:55,0.751s,PASSED
"setText(findTestObject(""Object Repository/Object_LevelUp/input_password""), ""1234567890"", 5)",,,,09-09-2024 11:20:55,09-09-2024 11:20:57,1.321s,PASSED
hideKeyboard(),,,,09-09-2024 11:20:57,09-09-2024 11:20:59,2.112s,PASSED
"takeScreenshotAsCheckpoint(""Seteleah Input Username dan Password"", [])",,,,09-09-2024 11:20:59,09-09-2024 11:21:00,0.932s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,09-09-2024 11:21:00,09-09-2024 11:21:02,2.014s,PASSED
